Gun,Hand,Vehicle,Action
Adept,Venom,Water,Alchemy
Iron,Thread,Trap,Ambush
Rune,Spider,Trap,Ambush
Earth,Spike,Trap,Ambush
Fire,Spider,Trap,Ambush
Dance,Knowledge,Mirror,Animate
Fungus,Growth,Zeal,Animate
Dance,Dust,Echo,Animate
Bone,Death,Magic,Animate
Cloth,Dance,Magic,Animate
Bird,Cat,Vast,Anzu
Myriad,Shield,Sword,Arsenal
Corrupt,Dimension,Magic,Avatar
Dark,Tentacle,Void,Avatar
Hammer,Lightning,Might,Avatar
Blood,Life,Sun,Avatar
Dimension,Might,Renewal,Avatar
Lightning,Might,Sword,Avatar
Rune,Spear,Tree,Avatar
Potent,Vast,Water,Avatar
Corrupt,Magic,Void,Avatar
Corrupt,Dimension,Potent,Avatar
Dimension,Tentacle,Void,Avatar
Elemental,Harmonic,Potent,Avatar
Dimension,Light,Wing,Avatar
Eye,Fire,Magic,Avatar
Elemental,Might,Resolute,Avatar
Corrupt,Dimension,Might,Avatar
Magic,Might,Potent,Avatar
Blood,Bone,Flesh,Avatar
Iron,Spike,Vast,Battlefield
Cattle,Earth,Vast,Behemoth
Balance,Earth,Shield,Boundary
Dance,Feast,Knife,Bounty
Hunger,Vast,Void,Cataclysm
Dimension,Myriad,Sin,Cataclysm
Fire,Potent,Water,Cataclysm
Death,Myriad,Void,Cataclysm
Balance,Magic,Potent,Chaotic
Adept,Magic,Trap,Charlatan
Cat,Tentacle,Void,Chimera
Snake,Spider,Venom,Chimera
Earth,Pangolin,Shark,Chimera
Lizard,Spider,Wolf,Chimera
Death,Iron,Life,Cyborg
Flesh,Iron,Myriad,Cyborg
Flesh,Myriad,Technology,Cyborg
Flesh,Magic,Water,Cyborg
Death,Flesh,Iron,Cyborg
Flesh,Iron,Technology,Cyborg
Flesh,Might,Technology,Cyborg
Renewal,Sun,Water,Dawn
Dark,Light,Sun,Dawn
Fire,Omen,Sun,Dawn
Hunger,Locust,Plant,Desolate
Blood,Hunger,Locust,Desolate
Bone,Dust,Sun,Desolate
Cold,Hammer,Sickle,Desolate
Sand,Sun,Wind,Desolate
Earth,Ice,Wind,Desolate
Death,Hunger,Plant,Desolate
Bow,Corrupt,Song,Discordant
Blood,Dark,Sin,Doom
Blood,Dark,Omen,Doom
Blood,Corrupt,Potent,Doom
Death,Potent,Void,Doom
Blood,Corrupt,Flesh,Doom
Blight,Smoke,Venom,Doom
Death,Potent,Vast,Doom
Death,Dimension,Zeal,Doom
Moon,Omen,Sun,Doom
Growth,Hunger,Void,Doom
Balance,Omen,Sin,Doom
Dark,Hunger,Void,Doom
Corrupt,Feast,Growth,Doom
Hunger,Magic,Mirror,Doppelganger
Flesh,Magic,Mirror,Doppelganger
Magic,Might,Wing,Dragon
Magic,Potent,Wing,Dragon
Balance,Dark,Light,Eclipse
Balance,Moon,Sun,Eclipse
Balance,Omen,Zeal,Eclipse
Balance,Death,Life,Eclipse
Dimension,Moon,Sun,Eclipse
Earth,Trowel,Vast,Edifice
Rune,Star,Tree,Effigy
Dance,Glass,Visage,Effigy
Blood,Dark,Shimmer,Effigy
Magic,Might,Swift,Empower
Blood,Growth,Hunger,Empower
Might,Renewal,Sin,Empower
Elemental,Lightning,Sword,Empower
Frog,Hunger,Void,Empower
Elemental,Hunger,Potent,Empower
Balance,Hunger,Magic,Empower
Lightning,Swift,Sword,Empower
Balance,Blood,Rune,Empower
Cat,Magic,Sun,Empower
Crystal,Magic,Sword,Empower
Flesh,Growth,Potent,Empower
Blood,Hunger,Might,Empower
Cat,Fungus,Renewal,Fertile
Bird,Fire,Wind,Firebird
Magic,Potent,Shield,Force
Adept,Magic,Might,Force
Balance,Might,Potent,Force
Iron,Lightning,Technology,Forge
Fire,Iron,Water,Forge
Fire,Iron,Technology,Forge
Bird,Fire,Iron,Forge
Fire,Hammer,Iron,Forge
Earth,Iron,Shield,Fortress
Bird,Might,Swift,Garuda
Might,Swift,Wing,Garuda
Dimension,Myriad,Rune,Gate
Dimension,Magic,Void,Gate
Dimension,Magic,Rune,Gate
Fire,Mirror,Venom,Glimeron
Earth,Hair,Snake,Gorgon
Bird,Cat,Might,Griffin
Magic,Shield,Void,Guardian
Shield,Trap,Void,Guardian
Claw,Malign,Song,Harpy
Bird,Discord,Song,Harpy
Discord,Song,Wing,Harpy
Axe,Hunt,Plant,Harvest
Earth,Plant,Sickle,Harvest
Myriad,Renewal,Snake,Hydra
Life,Magic,Renewal,Immortal
Growth,Might,Renewal,Immortal
Blood,Potent,Renewal,Immortal
Might,Swift,Vehicle,Juggernaut
Iron,Might,Swift,Juggernaut
Balance,Magic,Rune,Karmic
Omen,Rune,Star,Karmic
Deep,Myriad,Potent,Kraken
Might,Octopus,Vast,Kraken
Deep,Might,Octopus,Kraken
Fish,Vast,Water,Leviathan
Deep,Might,Vast,Leviathan
Harmonic,Plant,Water,Lotus
Plant,Sword,Water,Lotus
Armour,Magic,Technology,Magitech
Lightning,Magic,Technology,Magitech
Cat,Spike,Venom,Manticore
Foot,Knife,Swift,Master
Adept,Gathering,Gun,Master
Adept,Iron,Technology,Master
Adept,Bow,Swift,Master
Adept,Myriad,Sword,Master
Adept,Dance,Sword,Master
Adept,Fire,Hammer,Master
Adept,Needle,Thread,Master
Adept,Foot,Hand,Master
Adept,Dance,Whip,Master
Adept,Gun,Swift,Master
Adept,Gun,Hand,Master
Dance,Song,Sword,Master
Adept,Knife,Smoke,Master
Adept,Magic,Sword,Master
Cloth,Needle,Thread,Master
Adept,Swift,Sword,Master
Adept,Cloth,Needle,Master
Dance,Sword,Thread,Master
Adept,Thread,Whip,Master
Adept,Fire,Iron,Master
Adept,Magic,Potent,Master
Life,Pure,Renewal,Ministration
Cattle,Might,Trap,Minotaur
Cattle,Hunt,Might,Minotaur
Fire,Light,Water,Mirage
Sun,Vast,Water,Mirage
Sand,Sun,Visage,Mirage
Earth,Growth,Might,Monolith
Magic,Might,Staff,Mystic
Magic,Omen,Vast,Mystic
Magic,Sword,Wind,Mystic
Balance,Swift,Wind,Mystic
Balance,Dimension,Harmonic,Mystic
Iron,Might,Serene,Mystic
Dark,Knowledge,Pure,Mystic
Dark,Song,Vast,Mystic
Adept,Water,Wind,Mystic
Balance,Swift,Sword,Mystic
Harmonic,Knowledge,Pure,Mystic
Balance,Hand,Iron,Mystic
Blood,Renewal,Sword,Mystic
Cloud,Vast,Void,Nebula
Balance,Mirror,Void,Nemesis
Earth,Sand,Water,Oasis
Vast,Vehicle,Water,Ocean
Bow,Gathering,Myriad,Onslaught
Might,Swift,Wind,Onslaught
Growth,Renewal,Zeal,Onslaught
